summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,nearest_boundary_score_slope,nearest_boundary_score_err,convex_overlap,surroundedness_degree,case
mean,128.5677627980709,1004.24,0.5280219419546678,0.8353445760581044,0.9197458987883732,3.526077719607284,1.0867682984788798,127.3134471508781,12.425464505373284,0.25368642207503483,0.10513775540650606,5
std,470.4917562691711,7653.126276261488,0.2520631466751567,0.1284238894833994,0.22558731322501085,1.8159311146397965,0.3474950061691207,44.063700956192775,25.42706270238332,0.31198231976685936,0.26199065927207316,5
min,22.727921843528748,38.0,0.04369338211147497,0.3159778376524636,0.4028268551236749,0.8598518985797547,0.3331992208352811,57.96502396104911,0.3280810772707969,0.0,0.0,5
25%,33.98096999526024,56.75,0.3409949236169697,0.7924413287284435,0.782437275985663,2.10778775713916,0.8257507006146103,93.03350335265272,2.186228307843479,0.0,0.0,5
50%,48.162950456142426,99.0,0.517003899100129,0.8701095376982679,0.9434723067559343,3.3743961554988773,1.040661602375565,124.24231542774167,4.6348959504259,0.1225,0.0,5
75%,77.40127983689308,185.5,0.7057759753528736,0.9245549801609156,1.1065856777493606,4.374927012459484,1.267230804104999,155.09332420516364,9.398602942236256,0.4730345412163594,0.0,5
max,4695.618858575821,76664.0,1.0481050205612732,0.9903889691589175,1.28125,9.837138597138406,2.2735209993084027,338.41528646548664,199.37523003325754,1.0,0.7782676717193682,5
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6
mean,247.13088699221612,837.17,0.21563362699090077,0.6324875018357821,0.646928544789542,3.6365531116990684,1.1299914747327204,142.77868446180273,17.000845893362538,0.04148584266825419,0.6165025875607658,6
std,123.22475432901672,514.6028978982264,0.12832152265417332,0.11682411864019994,0.11710964503151712,0.9842661627588597,0.18042736508077814,43.89248917012103,12.940704340696625,0.05665921396492977,0.2904711731464098,6
min,86.91168737411499,392.0,0.058283138927288626,0.38395091821325816,0.4540962288686606,1.8349999779336303,0.7318482886203497,64.16873941534148,0.45257794259123346,0.0,0.0,6
25%,155.0096664428711,477.5,0.12829335748611975,0.5527640967480187,0.5534975098401584,2.959674557829829,1.0098998009462619,107.82351687401638,6.45393872322956,0.0,0.7352958370845565,6
50%,223.45079135894775,658.0,0.17343990098136336,0.6189345880591224,0.6240792812688034,3.5140069062369603,1.1203246737715566,134.90965304294576,15.189035671900813,0.017862173538379954,0.754394430255584,6
