summary,whole_brain_area,whole_tumor_area,invasion_count_cnt,invasion_count_min_area,invasion_count_max_area,invasion_count_med_area,delaunay_score_min,delaunay_score_quartile1,delaunay_score_median,delaunay_score_quartile3,delaunay_score_max,tumor_components_cnt,tumor_components_min_area,tumor_components_max_area,tumor_components_med_area,interface_ellipse_eccent_quants_0.1,interface_ellipse_eccent_quants_0.5,interface_ellipse_eccent_quants_0.9,interface_ellipse_area_quants_0.1,interface_ellipse_area_quants_0.5,interface_ellipse_area_quants_0.9,cooccurrence_mat_0,cooccurrence_mat_1,cooccurrence_mat_2,cooccurrence_mat_3,cooccurrence_mat_4,cooccurrence_mat_5,cooccurrence_mat_6,brain_compactness,brain_convexity,brain_solidity,convex_overlap,filled_overlap_cnt,filled_overlap_min_area,filled_overlap_max_area,filled_overlap_med_area,case
75%,179862.9238028768,396555.7124199238,6.0,0.48721822866599857,1.2274842922451799,0.670528057273008,32.344242095947266,89.59455299377441,170.09225463867188,288.16837310791016,1130.482666015625,56.0,10.724449156023741,897.9229683567615,108.22243104422995,0.004181210656803078,0.007212501798580028,0.017211737493085914,34.71910974980133,344.47990827996625,1414.161563170825,0.5947712418300654,0.07484143763213531,0.1678646934460888,0.0718954248366013,0.05321683876092136,0.06283460129613976,0.21079136690647482,0.1444656560834312,0.5892762105204964,0.6874418775615225,0.5280432822362489,66.0,63.2966095724973,159.65788325038093,78.87656208301169,3
max,220104.6946785382,856598.3147137391,13.0,8.287074347836528,9.749499232748857,9.099532617232265,1571.891815577897,1571.891815577897,1571.891815577897,1571.891815577897,1571.891815577897,225.0,294.65264828911387,8768.197763185,480.70884241138083,0.006442236944195938,0.009617810446473534,0.05693607249065864,103.3609410325258,864.2118611562465,2574.1927807534566,0.6908315565031983,0.12374581939799331,0.31507513330101794,0.153437876960193,0.09640591966173362,0.0965034965034965,0.6454849498327759,0.34268899947836506,0.6967657674280646,0.8480190948049835,0.6636209813874788,254.0,104.56337927123148,554.7465063434099,180.69071911361215,3
count,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,4
mean,740159.3525353874,281196.16562882066,0.9393939393939394,7.177960708210201,7.501820380904736,7.3299621366126715,119.77478602222232,208.1364067012685,321.0121947830445,442.6008032647118,1086.8478903965588,31.0,64.50954700328867,5257.898842630972,284.09478434495605,0.003711788312564623,0.006005235435310642,0.014138292958562107,381.7364931649134,1300.699634974131,3492.8106810965746,0.2521982427902875,0.07051465823474246,0.05245369841322278,0.041497537468726184,0.06773593694586184,0.07224508347282996,0.44335484267432923,0.06258710217728203,0.3721511008558535,0.5586949011521556,0.14414007048869593,13.575757575757576,186.03652628407832,420.77080730721485,236.5641204885478,4
std,735933.5665551963,291704.1753675453,1.6944651431092115,9.358645080246927,9.773315836905546,9.563455101995581,356.0420198433564,360.85581498596406,399.8441764471172,405.63948112195726,489.4330852315782,23.480044718867127,78.80565540748239,5174.657176054436,224.17063571998668,0.0009665171930062111,0.0009931499117661858,0.006311134504790332,461.57079349876074,734.7863677577312,2303.029648023603,0.1510626165025815,0.03678896699301278,0.03571428294113955,0.021949828522694108,0.039385975021992835,0.038043572969103504,0.24450041878630766,0.039662998986409057,0.1100447394824898,0.11505773741841913,0.1740789668280753,21.30145285982611,94.43827228572799,312.2372102355199,116.28831741846406,4
min,4008.4564838253823,14.262023375191852,0.0,0.0,0.0,0.0,3.1341960430145264,17.148908615112305,27.6556453704834,47.380680084228516,126.5490493774414,2.0,0.08867079915645551,0.9980283970272791,0.30360110580742916,0.002378024928582217,0.004118727475175312,0.005239774703432155,1.355265698194021,2.3794134284510817,3.3536838341826374,0.017467248908296942,0.0026200873362445414,0.0034934497816593887,0.01020408163265306,0.013973799126637555,0.0069868995633187774,0.11241970021413276,0.01021216074862987,0.19681928340496427,0.29489405369425337,0.0,0.0,0.0,0.0,0.0,4
25%,282875.8411854674,34755.85945849504,0.0,0.0,0.0,0.0,29.958148956298828,87.31748962402344,135.28955078125,237.25400924682617,857.4818115234375,12.0,17.23787506685975,868.4314805045417,173.18097336442418,0.0028549106576368703,0.0051987988990378885,0.009788068088201766,85.23638711922034,939.4680598520224,1993.9968568659117,0.14964788732394366,0.05291005291005291,0.02631578947368421,0.02186878727634195,0.038461538461538464,0.04923076923076923,0.24405705229793978,0.03010980413315842,0.2852241744990225,0.4976570228839552,0.015796868874056073,2.0,133.69410790980433,259.017464775389,208.35835857907284,4
50%,532236.177931677,165807.8969256318,0.0,0.0,0.0,0.0,33.38736343383789,105.34738159179688,190.83685302734375,319.19576263427734,1077.543212890625,27.0,36.2621282009391,3155.390688892582,257.0265274196812,0.0036911807314196415,0.005850608834629527,0.012514320517654012,193.84643442214656,1247.5070483037439,3017.009066318133,0.2393980848153215,0.07167470709855273,0.04597701149425287,0.041379310344827586,0.06753962784286699,0.07489878542510121,0.375,0.055877144352260134,0.36133041406654726,0.5610021005641982,0.09700164606867605,6.0,234.6810553312059,325.6153152812532,264.8647032902172,4
75%,886726.9329195222,487473.091122647,1.0,18.967882443568147,19.3942568094775,19.145958325530337,47.08119201660156,130.87275886535645,302.1393737792969,454.5033264160156,1381.83984375,43.0,77.73112609226946,9405.280297532805,358.53017010979795,0.004339317740538449,0.006724340461223307,0.01760399550894044,377.75839603788563,1887.118343503231,4576.585757588391,0.345,0.0870190578928443,0.06836734693877551,0.05353319057815846,0.09366391184573003,0.10545023696682465,0.583044982698962,0.08234693492018648,0.4533415253950258,0.6181432665500889,0.18288915408444265,15.0,247.51226992538435,563.2717247212541,297.5354108795003,4
max,3044778.7900540447,1168422.7629123265,9.0,22.6870750795619,25.29050992475753,23.802832870360028,2053.371137786147,2053.371137786147,2053.371137786147,2053.371137786147,2053.371137786147,107.0,343.09552067042387,15289.855038978854,1199.9975040033848,0.005719285484711309,0.008002491255521556,0.03553902478922181,1883.1388073827175,3088.4175649292138,8280.782404040105,0.5608465608465608,0.15738758029978586,0.14432284541723667,0.09564904710535778,0.16,0.1374829001367989,0.9432314410480349,0.16912361483391905,0.6449220937463208,0.792867680929346,0.8424231287516845,112.0,343.01214984605303,1189.9556838862018,396.9616351778882,4
