feature,domin_s,high_s,total
cooccurrence_mat_5_mean,0.880116833852196,0.18582610930026375,0.8000083787866192
cooccurrence_mat_5_min,0.5318331207077125,0.9697722337657193,0.740425636434868
cooccurrence_mat_5_std,0.5913058032708018,0.5016953837033626,0.7912675663941697
cooccurrence_mat_6_25%,0.5547625729318177,0.38961781316583827,0.21408321644039058
cooccurrence_mat_6_50%,0.5859108195811894,0.9083900705829308,0.3972094845057635
cooccurrence_mat_6_75%,0.6945630089088815,0.5712998164620315,0.2672747099931062
cooccurrence_mat_6_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
cooccurrence_mat_6_max,0.4445570018793501,0.02090898195024906,0.6235937192348646
cooccurrence_mat_6_mean,0.5397305192633229,0.3566810787201897,0.2850976221202307
cooccurrence_mat_6_min,0.4742008424738455,0.458752911722942,0.00958275911404057
cooccurrence_mat_6_std,0.57682534796938,0.14842006075255468,0.8889681722287257
delaunay_score_max_25%,0.694111787156427,0.35176345401285714,0.9466782920442329
delaunay_score_max_50%,0.6423170268097282,0.07139724755765581,0.5710871431088772
delaunay_score_max_75%,0.9591647344442974,0.05877244471770505,0.39064321713919087
delaunay_score_max_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
delaunay_score_max_max,0.2537677137050054,0.46900348604803355,0.6715941737293113
delaunay_score_max_mean,0.7530133443716807,0.08032913823589806,0.44806732824071055
delaunay_score_max_min,0.9268760981449194,0.6631280206414361,0.041727859495143516
delaunay_score_max_std,0.6048063198609729,0.12266423125650194,0.2771135442027797
delaunay_score_median_25%,0.6525891678611947,0.13807114059374254,0.7701134117413582
delaunay_score_median_50%,0.5600217572994973,0.2557967328227835,0.930321702683225
delaunay_score_median_75%,0.28790912417403564,0.6673122313458696,0.29759218537984217
delaunay_score_median_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
delaunay_score_median_max,0.1110047730462334,0.9242652084183969,0.8675360267051038
delaunay_score_median_mean,0.13812985893751148,0.5275226897813847,0.5374127217181704
delaunay_score_median_min,0.32133164143225507,0.9449105639521385,0.049260949228779105
delaunay_score_median_std,0.06476727543877005,0.8636543229610425,0.6149835850640984
delaunay_score_min_25%,0.9972158825436286,0.18354380898909314,0.6639349012541934
delaunay_score_min_50%,0.6211840177042393,0.15199446222672505,0.6337255874702624
delaunay_score_min_75%,0.234036989753395,0.9339891727847228,0.24748660653944848
delaunay_score_min_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
delaunay_score_min_max,0.5324526969283199,0.6057158461956219,0.6984043362113241
delaunay_score_min_mean,0.06993014333627799,0.7181807433344668,0.3059166336492923
delaunay_score_min_min,0.5936289080017676,0.7841353777793745,0.16101756121890687
delaunay_score_min_std,0.16014288006907001,0.6775103730863817,0.7049164544248195
delaunay_score_quartile1_25%,0.7620952655384764,0.21758698701684534,0.9478828293330249
delaunay_score_quartile1_50%,0.6428231100230348,0.33886900463332675,0.8661409483345964
delaunay_score_quartile1_75%,0.23024028586268216,0.89830282179071,0.16285902121754806
delaunay_score_quartile1_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
delaunay_score_quartile1_max,0.3624214870501621,0.8406609318320553,0.8153536439466742
delaunay_score_quartile1_mean,0.10330342313982731,0.59146672679386,0.41151317255089886
delaunay_score_quartile1_min,0.4223537858398312,0.7385420793792311,0.08590421593394776
delaunay_score_quartile1_std,0.11780953210733498,0.7105174114697874,0.6745338281347592
delaunay_score_quartile3_25%,0.46524690675080255,0.2283611296880099,0.8580341934025638
delaunay_score_quartile3_50%,0.3873263904980959,0.2961621395483961,0.8233452254922418
delaunay_score_quartile3_75%,0.20616539225457287,0.3596227333277986,0.3646278427886828
delaunay_score_quartile3_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
delaunay_score_quartile3_max,0.11687387420466928,0.9351584945160307,0.9384892576514979
delaunay_score_quartile3_mean,0.1511475637157097,0.39076752083667676,0.6143033732497962
delaunay_score_quartile3_min,0.32988307749190593,0.9954382695219565,0.038017744772436454
delaunay_score_quartile3_std,0.07114009071352627,0.7189154645329784,0.6954755312165485
filled_overlap_cnt_25%,0.9021920772108305,0.7774214875891152,0.7120340915640956
filled_overlap_cnt_50%,0.6438331055415186,0.5527863043937781,0.6569811266856951
filled_overlap_cnt_75%,0.37021499683625325,0.802072409070261,0.5865175168360104
filled_overlap_cnt_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
filled_overlap_cnt_max,0.004012971244667106,0.3924567713437198,0.0335544494196774
filled_overlap_cnt_mean,0.1206289597919083,0.9534264898236287,0.19326678542383155
filled_overlap_cnt_min,0.07360160628062624,0.6586226087544713,0.42588511650893535
filled_overlap_cnt_std,0.002396640732246317,0.6371832738265415,0.012867937968446728
filled_overlap_max_area_25%,0.9136720669528765,0.14202683805669536,0.8658489805685681
filled_overlap_max_area_50%,0.8407910074140886,0.02535178607209573,0.28494811889924837
filled_overlap_max_area_75%,0.7122524130452816,0.05892467618946364,0.7606334603610319
filled_overlap_max_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
filled_overlap_max_area_max,0.884039777453999,0.1994933680912984,0.926197151872974
filled_overlap_max_area_mean,0.9036070768937694,0.049572748560808955,0.4379213209036381
filled_overlap_max_area_min,0.15634279390667793,0.9772569681636927,0.9413190835845787
filled_overlap_max_area_std,0.9903713157347824,0.1454271309437554,0.6487775790480009
filled_overlap_med_area_25%,0.1913757575226951,0.3653649742896888,0.8028079408788056
filled_overlap_med_area_50%,0.7740153502328604,0.01227104726217756,0.37217865465087696
filled_overlap_med_area_75%,0.8891121636078573,0.039823026258499566,0.3600012008769174
filled_overlap_med_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
filled_overlap_med_area_max,0.4000621165998343,0.12727023022659814,0.9473544678195605
filled_overlap_med_area_mean,0.7799838678013494,0.026478427415153105,0.39800083514313833
filled_overlap_med_area_min,0.1475615543343158,0.5478999632147984,0.8595185429803931
filled_overlap_med_area_std,0.8397561749193511,0.13934915147220056,0.5822449578637028
filled_overlap_min_area_25%,0.2097377001230097,0.34992420625883675,0.7927112220886744
filled_overlap_min_area_50%,0.7656077742402873,0.013728210076571592,0.530863213523254
filled_overlap_min_area_75%,0.7114426566986044,0.07707150096566576,0.5255874828971094
filled_overlap_min_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
filled_overlap_min_area_max,0.5273842451493059,0.21004430597252088,0.9193052204611079
filled_overlap_min_area_mean,0.8103865119973113,0.02544788417447811,0.4468884327110633
filled_overlap_min_area_min,0.11859342293679224,0.5778645846900922,0.9393101188309582
filled_overlap_min_area_std,0.8263509962450298,0.1489628480280315,0.6865575367213511
interface_ellipse_area_quants_0.1_25%,0.7594130224770964,0.19752917435666578,0.9657958775237584
interface_ellipse_area_quants_0.1_50%,0.980313924344543,0.06825050603731417,0.3841482848469128
interface_ellipse_area_quants_0.1_75%,0.4560463229617088,0.4305955836820524,0.7490434886814819
interface_ellipse_area_quants_0.1_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
interface_ellipse_area_quants_0.1_max,0.8343656217949724,0.37760467100181294,0.6422258530122236
interface_ellipse_area_quants_0.1_mean,0.7421288092766377,0.3099889929294852,0.6930958801286936
interface_ellipse_area_quants_0.1_min,0.6227188167605335,0.6398636789807296,0.6819235591786522
interface_ellipse_area_quants_0.1_std,0.7616947368010587,0.4846608689782113,0.638924096421846
interface_ellipse_area_quants_0.5_25%,0.6869652616305977,0.10928681332651265,0.5552030507008325
interface_ellipse_area_quants_0.5_50%,0.9312701138483959,0.06536727089865745,0.43300874356372426
interface_ellipse_area_quants_0.5_75%,0.766568752968954,0.1405907758892104,0.49662751463449295
interface_ellipse_area_quants_0.5_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
interface_ellipse_area_quants_0.5_max,0.897913769882322,0.2607026840397335,0.29312048160653964
interface_ellipse_area_quants_0.5_mean,0.9656891963465394,0.11672317955040472,0.3528002184375496
interface_ellipse_area_quants_0.5_min,0.6419086980826384,0.9424374627512497,0.9021281792661416
interface_ellipse_area_quants_0.5_std,0.9977909288392901,0.3130125492342184,0.19982258976757516
interface_ellipse_area_quants_0.9_25%,0.9472944575748455,0.09795172221772758,0.6520151124182625
interface_ellipse_area_quants_0.9_50%,0.9152893042300999,0.06952984862585629,0.2886980672669722
interface_ellipse_area_quants_0.9_75%,0.7411942930476522,0.21177049391693728,0.2848036811149075
interface_ellipse_area_quants_0.9_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
interface_ellipse_area_quants_0.9_max,0.7503877108781377,0.5479522027312445,0.17779825253608772
interface_ellipse_area_quants_0.9_mean,0.7885782620839331,0.23375954221328185,0.26014750762821354
interface_ellipse_area_quants_0.9_min,0.7204454707885116,0.9173413839601581,0.9334808700345236
interface_ellipse_area_quants_0.9_std,0.7356383999579831,0.6355829643247599,0.20100181624471705
interface_ellipse_eccent_quants_0.1_25%,0.1807854120839247,0.03081853335395137,0.3124747279808396
interface_ellipse_eccent_quants_0.1_50%,0.18650899942852855,0.3287106922614613,0.5137253577306117
interface_ellipse_eccent_quants_0.1_75%,0.4910644021733064,0.61529482856381,0.6664710672532957
interface_ellipse_eccent_quants_0.1_count,0.6128706218181518,0.7256595585170553,0.6059763900145505
interface_ellipse_eccent_quants_0.1_max,0.13540608984354482,0.04848109729973458,0.5693072173688557
interface_ellipse_eccent_quants_0.1_mean,0.43786512948821765,0.37057926877929703,0.6641261248080866
interface_ellipse_eccent_quants_0.1_min,0.17093608613427125,0.38142866519424623,0.3872718991524388
interface_ellipse_eccent_quants_0.1_std,0.11234356128490797,0.044129584453444094,0.36569898131333245
interface_ellipse_eccent_quants_0.5_25%,0.1930237875480594,0.2833966623100773,0.2158759976867209
interface_ellipse_eccent_quants_0.5_50%,0.3485824975213621,0.7817694119509833,0.6216498269737513
interface_ellipse_eccent_quants_0.5_75%,0.5637916915010442,0.672174758111942,0.28689866705140166
interface_ellipse_eccent_quants_0.5_count,0.6128706218181518,0.7256595585170553,0.6059763900145505
interface_ellipse_eccent_quants_0.5_max,0.0930860614699085,0.2625133407447756,0.8074211336033504
interface_ellipse_eccent_quants_0.5_mean,0.715986478270756,0.541550909255696,0.4267016984123098
interface_ellipse_eccent_quants_0.5_min,0.4788411442134382,0.9275275822853492,0.6781984877529359
interface_ellipse_eccent_quants_0.5_std,0.02453758757247543,0.19883958736472798,0.672990592561049
interface_ellipse_eccent_quants_0.9_25%,0.14800379457807536,0.07944082924836648,0.2981961557655638
interface_ellipse_eccent_quants_0.9_50%,0.1055103956465702,0.16531723590754321,0.1533959113094688
interface_ellipse_eccent_quants_0.9_75%,0.1885345950921432,0.16844821365830545,0.20805180082830496
interface_ellipse_eccent_quants_0.9_count,0.6128706218181518,0.7256595585170553,0.6059763900145505
interface_ellipse_eccent_quants_0.9_max,0.08620248867003763,0.6744261068451923,0.07919465305251255
interface_ellipse_eccent_quants_0.9_mean,0.7171024999934292,0.17988191408933452,0.7067096044796304
interface_ellipse_eccent_quants_0.9_min,0.19709376228121914,0.32911316880805963,0.5005160611150304
interface_ellipse_eccent_quants_0.9_std,0.03654323259035011,0.9332166441414002,0.06839879390594875
invasion_count_cnt_25%,0.37369886227302235,0.8404952818660819,0.6842647599434908
invasion_count_cnt_50%,0.8147740799120498,0.49482310870424356,0.6684872709795787
invasion_count_cnt_75%,0.7091620431138903,0.9253172704371075,0.8740434214417504
invasion_count_cnt_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
invasion_count_cnt_max,0.02794521770519643,0.649713850168898,0.20489420504788736
invasion_count_cnt_mean,0.4030738869134759,0.9525153648105543,0.5169573490690543
invasion_count_cnt_min,0.052933750698565596,0.5942369853292918,0.2440495506849703
invasion_count_cnt_std,0.040422343904456905,0.7921655615751975,0.1935658250030512
invasion_count_max_area_25%,0.4731737760962455,0.6294520398774747,0.15264732023262434
